Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE1797,5,K18,-,hypothetical protein,SAUSA300_0652,K,18
NE1798,5,K20,dut,dUTP diphosphatase,SAUSA300_1949,K,20
NE1799,5,K22,-,hypothetical protein,SAUSA300_0519,K,22
NE1800,5,K24,-,hypothetical protein,SAUSA300_0904,K,24
NE1801,5,M2,-,hypothetical protein,SAUSA300_0841,M,2
NE1802,5,M4,-,aldo/keto reductase family oxidoreductase,SAUSA300_0688,M,4
NE1803,5,M6,-,putative thioredoxin,SAUSA300_0789,M,6
NE1804,5,M8,-,putative drug transporter,SAUSA300_0106,M,8
NE1805,5,M10,-,hypothetical protein,SAUSA300_1919,M,10
NE1806,5,M12,-,hypothetical protein,SAUSA300_1857,M,12
NE1807,5,M14,-,universal stress protein,SAUSA300_0067,M,14
NE1808,5,M16,-,putative iron compound ABC transporter iron compound-binding protein,SAUSA300_1032,M,16
NE1809,5,M18,-,putative enterotoxin,SAUSA300_0370,M,18
NE1810,5,M20,-,hypothetical protein,SAUSA300_2299,M,20
NE1811,5,M22,-,hypothetical protein,SAUSA300_1739,M,22
NE1812,5,M24,-,putative lipoprotein,SAUSA300_1741,M,24
NE1813,5,O2,msrA,methionine sulfoxide reductase A,SAUSA300_1256,O,2
NE1814,5,O4,-,phiSLT ORF116b-like protein,SAUSA300_1395,O,4
NE1815,5,O6,moaB,molybdenum cofactor biosynthesis protein B,SAUSA300_2226,O,6
NE1816,5,O8,-,L-lactate dehydrogenase,SAUSA300_2537,O,8
NE1817,5,O10,potB,spermidine/putrescine ABC transporter permease,SAUSA300_1000,O,10
NE1818,5,O12,-,hypothetical protein,SAUSA300_1428,O,12
NE1819,5,O14,-,hypothetical protein,SAUSA300_2206,O,14
NE1820,5,O16,-,hypothetical protein,SAUSA300_2604,O,16
NE1821,5,O18,-,putative phage transcriptional regulator,SAUSA300_1968,O,18
NE1822,5,O20,-,ABC transporter permease,SAUSA300_1218,O,20
NE1823,5,O22,-,Tat-translocated protein,SAUSA300_0345,O,22
NE1824,5,O24,-,hypothetical protein,SAUSA300_0035,O,24
NE1825,5,B2,,DNA-3-methyladenine glycosidase,SAUSA300_1612,B,2
NE1826,5,B4,-,phiPVL ORF051-like protein,SAUSA300_1953,B,4
NE1827,5,B6,-,hypothetical protein,SAUSA300_0011,B,6
NE1828,5,B8,-,pyridoxal biosynthesis lyase PdxS,SAUSA300_0504,B,8
NE1829,5,B10,,"2-oxoisovalerate dehydrogenase, E1 component, beta subunit",SAUSA300_1465,B,10
NE1830,5,B12,,putative phage-related DNA recombination protein,SAUSA300_1960,B,12
NE1831,5,B14,,YibE/F-like protein,SAUSA300_0443,B,14
NE1832,5,B16,,glyoxalase family protein,SAUSA300_1088,B,16
NE1833,5,B18,-,PemK family protein,SAUSA300_2026,B,18
NE1834,5,B20,-,hypothetical protein,SAUSA300_2507,B,20
NE1835,5,B22,,N-acetylneuraminate lyase,SAUSA300_0315,B,22
NE1836,5,B24,-,hypothetical protein,SAUSA300_1904,B,24
NE1837,5,D2,hisH,imidazole glycerol phosphate synthase subunit HisH,SAUSA300_2608,D,2
NE1838,5,D4,,conserved hypothetical protein,SAUSA300_0565,D,4
NE1839,5,D6,-,"cadmium-exporting ATPase, truncation",SAUSA300_0068,D,6
NE1840,5,D8,,serine-aspartate repeat-containing protein SdrH,SAUSA300_1985,D,8
NE1841,5,D10,-,hypothetical protein,SAUSA300_1474,D,10
NE1842,5,D12,-,superantigen-like protein,SAUSA300_0397,D,12
NE1843,5,D14,-,hypothetical protein,SAUSA300_0582,D,14
NE1844,5,D16,splE,serine protease SplE,SAUSA300_1754,D,16
NE1845,5,D18,hemB,delta-aminolevulinic acid dehydratase,SAUSA300_1615,D,18
NE1846,5,D20,speG,spermidine N(1)-acetyltransferase,SAUSA300_0053,D,20
NE1847,5,D22,-,putative hemolysin,SAUSA300_0687,D,22
NE1848,5,D24,lukS-PV,"Panton-Valentine leukocidin, LukS-PV",SAUSA300_1382,D,24
NE1849,5,F2,-,hypothetical protein,SAUSA300_0735,F,2
NE1850,5,F4,atpG,F0F1 ATP synthase subunit gamma,SAUSA300_2059,F,4
NE1851,5,F6,-,hypothetical protein,SAUSA300_0029,F,6
NE1852,5,F8,-,hypothetical protein,SAUSA300_1208,F,8
NE1853,5,F10,-,addiction module antitoxin,SAUSA300_2352,F,10
NE1854,5,F12,-,putative competence protein ComGC,SAUSA300_1502,F,12
NE1855,5,F14,-,"glycosyl transferase, group 2 family protein",SAUSA300_0689,F,14
NE1856,5,F16,epiC,lantibiotic epidermin biosynthesis protein EpiC,SAUSA300_1765,F,16
NE1857,5,F18,scdA,cell wall biosynthesis protein ScdA,SAUSA300_0253,F,18
NE1858,5,F20,-,ABC transporter ATP-binding protein,SAUSA300_2453,F,20
NE1859,5,F22,-,hypothetical protein,SAUSA300_1566,F,22
NE1860,5,F24,-,1-pyrroline-5-carboxylate dehydrogenase,SAUSA300_2491,F,24
NE1861,5,H2,-,hypothetical protein,SAUSA300_0090,H,2
NE1862,5,H4,-,superantigen-like protein,SAUSA300_0398,H,4
NE1863,5,H6,pflA,pyruvate formate-lyase activating enzyme,SAUSA300_0221,H,6
NE1864,5,H8,sak,staphylokinase,SAUSA300_1922,H,8
NE1865,5,H10,-,hypothetical protein,SAUSA300_0023,H,10
NE1866,5,H12,-,DNA polymerase IV,SAUSA300_1876,H,12
NE1867,5,H14,-,phiETA ORF59-like protein,SAUSA300_1386,H,14
NE1868,5,H16,mecA,penicillin-binding protein 2',SAUSA300_0032,H,16
NE1869,5,H18,-,hypothetical protein,SAUSA300_0243,H,18
NE1870,5,H20,,conserved hypothetical protein,SAUSA300_2080,H,20
NE1871,5,H22,-,hypothetical protein,SAUSA300_2284,H,22
NE1872,5,H24,rsbV,"anti-sigma-B factor, antagonist",SAUSA300_2024,H,24
NE1873,5,J2,-,hypothetical protein,SAUSA300_1742,J,2
NE1874,5,J4,-,U32 family peptidase,SAUSA300_1569,J,4
NE1875,5,J6,-,truncated beta-hemolysin,SAUSA300_1918,J,6
NE1876,5,J8,panC,pantoate--beta-alanine ligase,SAUSA300_2533,J,8
NE1877,5,J10,-,hypothetical protein,SAUSA300_0824,J,10
NE1878,5,J12,-,putative endonuclease III,SAUSA300_0597,J,12
NE1879,5,J14,tnp,"IS1181, transposase",SAUSA300_2115,J,14
NE1880,5,J16,-,tandem lipoprotein,SAUSA300_0416,J,16
NE1881,5,J18,fhuB,ferrichrome transport permease fhuB,SAUSA300_0634,J,18
NE1882,5,J20,opuCa,glycine betaine/carnitine/choline ABC transporter ATP-binding protein,SAUSA300_2393,J,20
NE1883,5,J22,gltC,LysR family regulatory protein,SAUSA300_0444,J,22
NE1884,5,J24,-,hypothetical protein,SAUSA300_0844,J,24
NE1885,5,L2,tgt,queuine tRNA-ribosyltransferase,SAUSA300_1595,L,2
NE1886,5,L4,-,hypothetical protein,SAUSA300_0992,L,4
NE1887,5,L6,nusB,transcription antitermination protein NusB,SAUSA300_1473,L,6
NE1888,5,L8,-,hypothetical protein,SAUSA300_0183,L,8
NE1889,5,L10,atpH,F0F1 ATP synthase subunit delta,SAUSA300_2061,L,10
NE1890,5,L12,-,phiSLT ORF65-like protein,SAUSA300_1422,L,12
NE1891,5,L14,gpmI,phosphoglyceromutase,SAUSA300_0759,L,14
NE1892,5,L16,-,hypothetical protein,SAUSA300_1171,L,16
NE1893,5,L18,-,hypothetical protein,SAUSA300_0916,L,18
NE1894,5,L20,-,hypothetical protein,SAUSA300_1908,L,20
NE1895,5,L22,argR,arginine repressor,SAUSA300_1469,L,22
NE1896,5,L24,lpdA,dihydrolipoamide dehydrogenase,SAUSA300_1467,L,24
NE1897,5,N2,-,hypothetical protein,SAUSA300_1789,N,2
NE1898,5,N4,-,dipeptidase PepV,SAUSA300_1697,N,4
NE1899,5,N6,-,tandem lipoprotein,SAUSA300_0419,N,6
NE1900,5,N8,-,hypothetical protein,SAUSA300_0365,N,8
NE1901,5,N10,-,acetyl-CoA acetyltransferase,SAUSA300_0355,N,10
NE1902,5,N12,moaC,molybdenum cofactor biosynthesis protein MoaC,SAUSA300_2225,N,12
NE1903,5,N14,-,AraC family transcriptional regulator,SAUSA300_1455,N,14
NE1904,5,N16,rpmG,50S ribosomal protein L33,SAUSA300_1233,N,16
NE1905,5,N18,lgt,prolipoprotein diacylglyceryl transferase,SAUSA300_0744,N,18
NE1906,5,N20,-,hypothetical protein,SAUSA300_0587,N,20
NE1907,5,N22,-,methylated DNA-protein cysteine methyltransferase,SAUSA300_2485,N,22
NE1908,5,N24,-,ABC transporter ATP-binding protein,SAUSA300_1911,N,24
NE1909,5,P2,-,hypothetical protein,SAUSA300_1720,P,2
NE1910,5,P4,-,hypothetical protein,SAUSA300_1248,P,4
NE1911,5,P6,-,hypothetical protein,SAUSA300_0585,P,6
NE1912,5,P8,-,ISSep1-like transposase,SAUSA300_0071,P,8
NE1913,5,P10,,putative lipoprotein,SAUSA300_0079,P,10
NE1914,5,P12,-,hypothetical protein,SAUSA300_0997,P,12
NE1915,5,P14,,hypothetical protein,SAUSA300_0649,P,14
NE1916,5,P16,,hypothetical protein,SAUSA300_0795,P,16
NE1917,5,P18,,hypothetical protein,SAUSA300_1950,P,18
NE1918,5,P20,,phiSLT ORF53-like protein,SAUSA300_1429,P,20
NE1919,5,P22,,protein phosphatase 2C domain-containing protein,SAUSA300_1112,P,22
NE1920,5,P24,-,polyprenyl synthetase,SAUSA300_1359,P,24
